Baryon Density,chi-square results,p-value
CAMB: 0.02265,2.700246262574317,4.5378536422946425e-06
CAMB: 0.0228,2.5388606058905747,2.715934512731444e-06
CAMB: 0.02295,2.4014550738536045,1.702368189748782e-06
CAMB: 0.0231,2.338725588001026,1.3615780056763782e-06
CAMB: 0.02325,2.269769268842907,1.0567538908379248e-06
CAMB: 0.0234,2.763970637669515,5.5045441043066745e-06
CAMB: 0.02355,2.844935781817342,6.984544431598572e-06
CAMB: 0.0237,2.931132342522556,8.924304914392778e-06
CAMB: 0.02385,3.02460906042242,1.1534020175951731e-05
CAMB: 0.024,3.1712337234427705,1.6939247361458243e-05
CAMB: 0.02415,3.3431769102517874,2.5909945039037652e-05
CAMB: 0.0243,3.5545618800077357,4.2223657325535235e-05
CAMB: 0.02445,3.802471025787705,7.175424907923666e-05
CAMB: 0.0246,4.066756144231274,0.00012081502956562407
CAMB: 0.02475,4.376321820278067,0.00021145006916833964
CAMB: 0.0249,4.747925566499369,0.00038909730135072707
CAMB: 0.02505,5.127328995380803,0.0006831228937069778
CAMB: 0.0252,5.5273436962024,0.001169303607574057
CAMB: 0.02535,5.982439588876533,0.0020302359661378278
CAMB: 0.0255,6.452958820797108,0.0033916829673216187
CAMB: 0.02565,6.96504578948637,0.0056026736877075045
CAMB: 0.0258,7.511208867770778,0.009050796219312596
CAMB: 0.02595,8.086729841206925,0.014223290634613583
CAMB: 0.0261,8.686261147234617,0.021664976566287075
CAMB: 0.02625,9.338056753159716,0.03256675023167044
CAMB: 0.0264,10.02557644221206,0.0476879422863874
CAMB: 0.02655,10.734097106181965,0.06754102454997912
CAMB: 0.0267,11.471541718187385,0.09304354973026485
CAMB: 0.02685,12.240612906068106,0.12491555819219313
CAMB: 0.027,13.03319565052192,0.16313264934956861
CAMB: 0.02715,13.879135212146814,0.20930907757046424
CAMB: 0.0273,14.736548350982702,0.2608117257341297
CAMB: 0.02745,15.623845712190233,0.3177910393805512
CAMB: 0.0276,16.55859247980014,0.3802553557783266
CAMB: 0.02775,17.543056296231818,0.44687241747623996
CAMB: 0.0279,18.52532135249172,0.5123564855396093
CAMB: 0.02805,19.550582237708795,0.5779374695914722
CAMB: 0.0282,20.602949099438913,0.6408513777418381
CAMB: 0.02835,21.676544643959595,0.6993514128718366
CAMB: 0.0285,22.803394325114684,0.7538875207650748
CAMB: 0.02865,23.94330119122828,0.8016637514008763
CAMB: 0.0288,25.11038414471487,0.8430592202453897
CAMB: 0.02895,26.320660772616,0.8785007021207719
CAMB: 0.0291,27.57648144534769,0.90807487373362
CAMB: 0.02925,28.831091760694235,0.9313111929568081
CAMB: 0.0294,30.132879000988492,0.9498684931496918
CAMB: 0.02955,31.450665526757508,0.9639966533485498
CAMB: 0.0297,32.803124523225875,0.9746725185626426
CAMB: 0.02985,34.193920117899495,0.9825670387061222
CAMB: 0.03,35.59078968796241,0.9881550522407827
