Type,TT First Peak Position,TT Second Peak Position,TT First Peak Amplitude,TT Second Peak Amplitude,TT First Peak Width,TT Second Peak Width,"TT 1,2 Amp Ratio",TE First Peak Position,TE Second Peak Position,TE Third Peak Position,TE First Antipeak Position,TE First Peak Amplitude,TE Second Peak Amplitude,TE Third Peak Amplitude,TE First Antipeak Amplitude,TE First Peak Width,TE Second Peak Width,TE Third Peak Width,TE First Antipeak Width,"TE -1,2 Amp Ratio"
CAMB: 0.0165,218,522,4897.8263,2624.71826,231.7736354332138,134.46709063708386,1.8660388715396827,299,586,899,147,105.10833,27.6049797,42.1261532,38.9738338,138.09881892008502,125.67605784461512,140.98244145622368,93.48499661482981,1.4118406977129565
CAMB: 0.01665,218,522,4908.94776,2619.7605,231.65138234084492,134.5616421190167,1.8738154728266192,299,586,899,148,105.278837,27.6310652,42.5432896,39.0766818,138.3052757095262,125.57003540885353,141.08641494390895,93.5825961498705,1.414230016727694
CAMB: 0.0168,218,523,4920.09965,2614.80378,231.53256238593406,134.64851674873665,1.8816324527418267,300,586,900,148,105.45006,27.6544474,42.9561033,39.1810206,138.51289040864938,125.4678204319041,141.18812139474562,93.67870522204184,1.4168072148858053
CAMB: 0.01695,218,523,4931.28206,2609.82403,231.41708967921886,134.74248790896627,1.8895074929630407,300,586,900,148,105.626165,27.6751969,43.3670798,39.2856822,138.71653144332146,125.36604495922893,141.28903770032787,93.77315938298625,1.4195267459867646
CAMB: 0.0171,218,523,4942.49311,2604.80102,231.30485792781718,134.83463882399332,1.8974551499522987,300,586,900,148,105.800585,27.6934082,43.7721841,39.3906006,138.9220403922588,125.26465643277277,141.3901206288566,93.86849711825818,1.4223818287559131
CAMB: 0.01725,218,524,4953.7319,2599.78849,231.19575842770502,134.91956328758636,1.9054365072598656,300,587,900,148,105.973323,27.710626,44.1704063,39.4957486,139.12879239348985,125.16591708070587,141.49057047083932,93.964524156702,1.4252925430122003
CAMB: 0.0174,218,524,4965.00351,2594.76049,231.08974826856632,135.0108657929398,1.9134727575569024,301,587,901,148,106.145948,27.7298769,44.5701374,39.6011659,139.33535041645533,125.0672188811435,141.5896511457638,94.06160201753936,1.4281046411713425
CAMB: 0.01755,218,524,4976.30192,2589.69436,230.98698535969095,135.10019710830136,1.9215788538072887,301,587,901,148,106.324134,27.7464217,44.9644308,39.7068438,139.53937693024463,124.96793740474584,141.68840786575674,94.15937346225162,1.4310617862482788
CAMB: 0.0177,218,525,4987.6253,2584.64053,230.8878586392057,135.18411741637527,1.9297172052006781,301,587,901,148,106.500278,27.7590471,45.3529602,39.8128244,139.7440487389319,124.86828083229261,141.78546179294938,94.25815536766763,1.4342287851804536
CAMB: 0.01785,218,525,4998.97945,2579.57337,230.79124839141343,135.27388090423847,1.9379093877062312,301,587,902,148,106.674809,27.7706131,45.7382148,39.9189725,139.94988311919647,124.7743415055836,141.88497597515072,94.35909997881467,1.4374537701510093
CAMB: 0.018,218,525,5010.36023,2574.47618,230.69758745633624,135.361815996423,1.9461668625731856,302,588,902,149,106.848899,27.7798502,46.1240437,40.0254283,140.1566868460986,124.68209291386256,141.98029518848148,94.46153218305028,1.440807924155041
CAMB: 0.01815,218,526,5021.76838,2569.37242,230.6068934224058,135.44501959418477,1.954472750197887,302,588,902,149,107.028772,27.7927461,46.5019579,40.1343898,140.36040672317543,124.58574712216489,142.0776710114294,94.5616631267365,1.4440598872667716
CAMB: 0.0183,218,526,5033.20261,2564.27507,230.51905748348918,135.53230455568462,1.962816964874209,302,588,902,149,107.206837,27.8029,46.8728542,40.243541,140.5659943656298,124.48969035479593,142.17723348762922,94.66255869861583,1.4474583946278985
CAMB: 0.01845,218,526,5044.66399,2559.14411,230.4340369203111,135.61794456919932,1.9712309167302031,302,588,903,149,107.383011,27.8109091,47.247075,40.352869,140.77274474108194,124.40031567231495,142.2692834525418,94.7642570900326,1.4509726688510156
CAMB: 0.0186,218,527,5056.15021,2554.00855,230.35178757482385,135.6998707596942,1.979691966966986,303,588,903,149,107.558685,27.8165025,47.6154127,40.4623549,140.97934211454847,124.3103095366331,142.36486154761542,94.86671289226503,1.4546169095126176
CAMB: 0.01875,218,527,5067.6628,2548.88771,230.27226819956968,135.78573839919187,1.988185976227254,303,588,903,149,107.74009,27.8195891,47.9771487,40.5720069,141.18308699822336,124.22018089354981,142.4616486288379,94.96968164251027,1.4583970580643837
CAMB: 0.0189,218,527,5079.20041,2543.73641,230.19560987966918,135.8699330348863,1.9967479295545407,303,589,904,149,107.919524,27.826935,48.3388541,40.6817929,141.38743549649362,124.12706794427288,142.5539435914875,95.07060125695494,1.4619573769083802
CAMB: 0.01905,218,528,5090.76499,2538.61982,230.12189674850416,135.94913549614864,2.005327835973486,303,589,904,149,108.09717,27.8294392,48.6976549,40.7917277,141.59302526866352,124.03788054563415,142.64765096203757,95.17216774979923,1.4657761303361083
CAMB: 0.0192,218,528,5102.35259,2533.486,230.05052246970186,136.0331440544034,2.013965180782527,304,589,904,149,108.27462,27.8316108,49.0492527,40.9018138,141.7991574884583,123.9502501458503,142.74167674262026,95.27448035311706,1.46961719513554
